seed,feature_set,held_generator,auroc
2,metadata_geometry(4),ADM,0.775
2,metadata_geometry(4),BigGAN,0.75
2,metadata_geometry(4),DALLE2,0.75
2,metadata_geometry(4),GLIDE,0.7000000000000001
2,metadata_geometry(4),Midjourney,0.9750000000000001
2,metadata_geometry(4),SD14,0.9
2,metadata_geometry(4),SD15,1.0
2,metadata_geometry(4),SDXL,0.975
2,metadata_geometry(4),VQDM,0.725
2,metadata_geometry(4),Wukong,0.85
2,metadata_all(7),ADM,0.0
2,metadata_all(7),BigGAN,0.742
2,metadata_all(7),DALLE2,0.682
2,metadata_all(7),GLIDE,0.518
2,metadata_all(7),Midjourney,0.982
2,metadata_all(7),SD14,0.9
2,metadata_all(7),SD15,1.0
2,metadata_all(7),SDXL,0.972
2,metadata_all(7),VQDM,0.5579999999999999
2,metadata_all(7),Wukong,0.85
2,bpp_only(1),ADM,0.0
2,bpp_only(1),BigGAN,0.496
2,bpp_only(1),DALLE2,0.40800000000000003
2,bpp_only(1),GLIDE,0.074
2,bpp_only(1),Midjourney,0.15200000000000002
2,bpp_only(1),SD14,0.322
2,bpp_only(1),SD15,0.26
2,bpp_only(1),SDXL,0.28200000000000003
2,bpp_only(1),VQDM,0.21400000000000002
2,bpp_only(1),Wukong,0.668
2,is_square_only(1),ADM,0.8
2,is_square_only(1),BigGAN,0.75
2,is_square_only(1),DALLE2,0.775
2,is_square_only(1),GLIDE,0.75
2,is_square_only(1),Midjourney,0.775
2,is_square_only(1),SD14,0.7
2,is_square_only(1),SD15,0.85
2,is_square_only(1),SDXL,0.725
2,is_square_only(1),VQDM,0.725
2,is_square_only(1),Wukong,0.725
3,ALL_v1(652),ADM,0.8200000000000001
3,ALL_v1(652),BigGAN,0.56
3,ALL_v1(652),DALLE2,0.7
3,ALL_v1(652),GLIDE,0.7799999999999999
3,ALL_v1(652),Midjourney,0.718
3,ALL_v1(652),SD14,0.862
3,ALL_v1(652),SD15,0.866
3,ALL_v1(652),SDXL,0.7080000000000001
3,ALL_v1(652),VQDM,0.806
3,ALL_v1(652),Wukong,0.724
3,legacy51,ADM,0.748
3,legacy51,BigGAN,0.59
3,legacy51,DALLE2,0.58
3,legacy51,GLIDE,0.8
3,legacy51,Midjourney,0.658
3,legacy51,SD14,0.738
3,legacy51,SD15,0.866
3,legacy51,SDXL,0.574
3,legacy51,VQDM,0.716
3,legacy51,Wukong,0.476
3,metadata_geometry(4),ADM,0.6749999999999999
3,metadata_geometry(4),BigGAN,0.7
3,metadata_geometry(4),DALLE2,0.775
3,metadata_geometry(4),GLIDE,0.75
3,metadata_geometry(4),Midjourney,0.9750000000000001
3,metadata_geometry(4),SD14,0.9
3,metadata_geometry(4),SD15,1.0
3,metadata_geometry(4),SDXL,0.95
3,metadata_geometry(4),VQDM,0.675
3,metadata_geometry(4),Wukong,1.0
3,metadata_all(7),ADM,0.0
3,metadata_all(7),BigGAN,0.664
3,metadata_all(7),DALLE2,0.7280000000000001
3,metadata_all(7),GLIDE,0.532
3,metadata_all(7),Midjourney,0.992
3,metadata_all(7),SD14,0.9
3,metadata_all(7),SD15,1.0
3,metadata_all(7),SDXL,0.966
3,metadata_all(7),VQDM,0.5660000000000001
3,metadata_all(7),Wukong,1.0
3,bpp_only(1),ADM,0.0
3,bpp_only(1),BigGAN,0.516
3,bpp_only(1),DALLE2,0.324
3,bpp_only(1),GLIDE,0.08800000000000001
3,bpp_only(1),Midjourney,0.124
3,bpp_only(1),SD14,0.366
3,bpp_only(1),SD15,0.24000000000000002
3,bpp_only(1),SDXL,0.256
3,bpp_only(1),VQDM,0.262
3,bpp_only(1),Wukong,0.594
3,is_square_only(1),ADM,0.725
3,is_square_only(1),BigGAN,0.725
3,is_square_only(1),DALLE2,0.75
3,is_square_only(1),GLIDE,0.725
3,is_square_only(1),Midjourney,0.775
3,is_square_only(1),SD14,0.725
3,is_square_only(1),SD15,0.8
3,is_square_only(1),SDXL,0.825
3,is_square_only(1),VQDM,0.75
3,is_square_only(1),Wukong,0.775
4,ALL_v1(652),ADM,0.788
4,ALL_v1(652),BigGAN,0.532
4,ALL_v1(652),DALLE2,0.69
4,ALL_v1(652),GLIDE,0.774
4,ALL_v1(652),Midjourney,0.838
4,ALL_v1(652),SD14,0.9239999999999999
