held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
VQDM,frequency_score,family_logistic,36,,100.0,,0.4992,0.5979880176187992,0.5800000000000001,0.6,0.6,"[0.32792207792207795, 0.671958125]"
ADM,latent_typicality,family_logistic,118,,1.0,,0.5519999999999999,0.5699017179027245,0.48,0.36,0.36,"[0.3861684113300492, 0.727480332167832]"
BigGAN,latent_typicality,family_logistic,118,,1.0,,0.5471999999999999,0.5787319089371659,0.5800000000000001,0.48,0.48,"[0.3823227586206896, 0.7011928458521164]"
DALLE2,latent_typicality,family_logistic,118,,1.0,,0.5456,0.5680914179952248,0.56,0.44,0.44,"[0.40157697792869274, 0.7073084615384615]"
GLIDE,latent_typicality,family_logistic,118,,1.0,,0.8095999999999999,0.8545326577129984,0.72,0.76,0.76,"[0.6537337662337662, 0.9134615384615384]"
Midjourney,latent_typicality,family_logistic,118,,10.0,,0.6976,0.7278967507784126,0.68,0.68,0.68,"[0.5486920995670995, 0.8486554589371981]"
SD14,latent_typicality,family_logistic,118,,0.01,,0.592,0.525663299518236,0.5,0.36,0.36,"[0.43583603896103895, 0.7692337208132044]"
SDXL,latent_typicality,family_logistic,118,,1.0,,0.6256,0.6512149136800819,0.6,0.44,0.44,"[0.48307999999999995, 0.7837025]"
VQDM,latent_typicality,family_logistic,118,,1.0,,0.7263999999999999,0.7633814546518651,0.62,0.64,0.64,"[0.5812287684729065, 0.8632205732069862]"
ADM,cross_timestep,family_logistic,30,,0.01,,0.6224,0.6064864171033417,0.64,0.68,0.68,"[0.46850264771460426, 0.7650129468599033]"
BigGAN,cross_timestep,family_logistic,30,,1.0,,0.4144,0.5445458855803443,0.52,0.4,0.4,"[0.25, 0.5830084619486793]"
DALLE2,cross_timestep,family_logistic,30,,0.01,,0.34080000000000005,0.4572342047606049,0.42000000000000004,0.28,0.28,"[0.18558662337662338, 0.48325942307692304]"
GLIDE,cross_timestep,family_logistic,30,,0.01,,0.8688,0.9000332975618357,0.78,0.84,0.84,"[0.7547708333333333, 0.9549428681222158]"
Midjourney,cross_timestep,family_logistic,30,,0.01,,0.6608,0.6590167690856357,0.62,0.6,0.6,"[0.50232, 0.8165056360708534]"
SD14,cross_timestep,family_logistic,30,,0.01,,0.752,0.7276871937383447,0.72,0.64,0.64,"[0.6047867323481116, 0.889650974025974]"
SDXL,cross_timestep,family_logistic,30,,0.01,,0.5344,0.6196483009616681,0.56,0.4,0.4,"[0.36392182696530523, 0.7023349999999996]"
VQDM,cross_timestep,family_logistic,30,,0.01,,0.7664000000000001,0.8083562128940656,0.56,0.68,0.68,"[0.6075087627889353, 0.8934431818181817]"
ADM,roundtrip_endpoint,family_logistic,8,,0.01,,0.6144000000000001,0.6863499003828895,0.56,0.44,0.44,"[0.458863768115942, 0.7648828985507244]"
BigGAN,roundtrip_endpoint,family_logistic,8,,0.01,,0.5456,0.5500047966392274,0.52,0.44,0.44,"[0.3758691622103387, 0.6932546496372897]"
DALLE2,roundtrip_endpoint,family_logistic,8,,0.01,,0.608,0.6198583531593365,0.62,0.6,0.6,"[0.4498753836760979, 0.7685386811464396]"
GLIDE,roundtrip_endpoint,family_logistic,8,,0.01,,0.6512,0.6870168663396962,0.54,0.68,0.68,"[0.49911497584541065, 0.804759974533107]"
Midjourney,roundtrip_endpoint,family_logistic,8,,0.1,,0.6368,0.6777477270968075,0.58,0.44,0.44,"[0.49492207792207793, 0.7730142140468226]"
SD14,roundtrip_endpoint,family_logistic,8,,0.1,,0.6559999999999999,0.5953855240012136,0.58,0.72,0.72,"[0.49829545454545454, 0.7988561408398364]"
SDXL,roundtrip_endpoint,family_logistic,8,,0.01,,0.5472,0.6460952919281425,0.54,0.32,0.32,"[0.3767663043478261, 0.706837541050903]"
VQDM,roundtrip_endpoint,family_logistic,8,,0.01,,0.6304000000000001,0.7385970802877828,0.6599999999999999,0.6,0.6,"[0.45662110016420365, 0.7873804687663383]"
