feature,family,coarse_groups
rich_score_consecutive_cos_max,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_early,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_middle,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_late,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_auc,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_slope,rich_score_dynamics,trajectory_noise
rich_score_angle_t0,rich_score_dynamics,trajectory_noise
rich_score_angle_t1,rich_score_dynamics,trajectory_noise
rich_score_angle_t2,rich_score_dynamics,trajectory_noise
rich_score_angle_t3,rich_score_dynamics,trajectory_noise
rich_score_angle_t4,rich_score_dynamics,trajectory_noise
rich_score_angle_mean,rich_score_dynamics,trajectory_noise
rich_score_angle_std,rich_score_dynamics,trajectory_noise
rich_score_angle_min,rich_score_dynamics,trajectory_noise
rich_score_angle_max,rich_score_dynamics,trajectory_noise
rich_score_angle_early,rich_score_dynamics,trajectory_noise
rich_score_angle_middle,rich_score_dynamics,trajectory_noise
rich_score_angle_late,rich_score_dynamics,trajectory_noise
rich_score_angle_auc,rich_score_dynamics,trajectory_noise
rich_score_angle_slope,rich_score_dynamics,trajectory_noise
rich_score_relchange_t0,rich_score_dynamics,trajectory_noise
rich_score_relchange_t1,rich_score_dynamics,trajectory_noise
rich_score_relchange_t2,rich_score_dynamics,trajectory_noise
rich_score_relchange_t3,rich_score_dynamics,trajectory_noise
rich_score_relchange_t4,rich_score_dynamics,trajectory_noise
rich_score_relchange_mean,rich_score_dynamics,trajectory_noise
rich_score_relchange_std,rich_score_dynamics,trajectory_noise
rich_score_relchange_min,rich_score_dynamics,trajectory_noise
rich_score_relchange_max,rich_score_dynamics,trajectory_noise
rich_score_relchange_early,rich_score_dynamics,trajectory_noise
rich_score_relchange_middle,rich_score_dynamics,trajectory_noise
rich_score_relchange_late,rich_score_dynamics,trajectory_noise
rich_score_relchange_auc,rich_score_dynamics,trajectory_noise
rich_score_relchange_slope,rich_score_dynamics,trajectory_noise
rich_score_secondchange_t0,rich_score_dynamics,trajectory_noise
rich_score_secondchange_t1,rich_score_dynamics,trajectory_noise
rich_score_secondchange_t2,rich_score_dynamics,trajectory_noise
rich_score_secondchange_t3,rich_score_dynamics,trajectory_noise
rich_score_secondchange_mean,rich_score_dynamics,trajectory_noise
rich_score_secondchange_std,rich_score_dynamics,trajectory_noise
rich_score_secondchange_min,rich_score_dynamics,trajectory_noise
rich_score_secondchange_max,rich_score_dynamics,trajectory_noise
rich_score_secondchange_early,rich_score_dynamics,trajectory_noise
rich_score_secondchange_middle,rich_score_dynamics,trajectory_noise
rich_score_secondchange_late,rich_score_dynamics,trajectory_noise
rich_score_secondchange_auc,rich_score_dynamics,trajectory_noise
rich_score_secondchange_slope,rich_score_dynamics,trajectory_noise
rich_score_first_last_cos,rich_score_dynamics,trajectory_noise
rich_score_cumulative_angle,rich_score_dynamics,trajectory_noise
rich_score_crosscos_0_1,rich_crosstime,crosstime
rich_score_crosscos_0_2,rich_crosstime,crosstime
rich_score_crosscos_0_3,rich_crosstime,crosstime
rich_score_crosscos_0_4,rich_crosstime,crosstime
rich_score_crosscos_0_5,rich_crosstime,crosstime
rich_score_crosscos_1_2,rich_crosstime,crosstime
rich_score_crosscos_1_3,rich_crosstime,crosstime
rich_score_crosscos_1_4,rich_crosstime,crosstime
rich_score_crosscos_1_5,rich_crosstime,crosstime
rich_score_crosscos_2_3,rich_crosstime,crosstime
rich_score_crosscos_2_4,rich_crosstime,crosstime
rich_score_crosscos_2_5,rich_crosstime,crosstime
rich_score_crosscos_3_4,rich_crosstime,crosstime
rich_score_crosscos_3_5,rich_crosstime,crosstime
rich_score_crosscos_4_5,rich_crosstime,crosstime
rich_latent_step_t0,rich_latent_geometry,latent_geometry
rich_latent_step_t1,rich_latent_geometry,latent_geometry
rich_latent_step_t2,rich_latent_geometry,latent_geometry
rich_latent_step_t3,rich_latent_geometry,latent_geometry
rich_latent_step_t4,rich_latent_geometry,latent_geometry
rich_latent_step_t5,rich_latent_geometry,latent_geometry
rich_latent_step_mean,rich_latent_geometry,latent_geometry
rich_latent_step_std,rich_latent_geometry,latent_geometry
rich_latent_step_min,rich_latent_geometry,latent_geometry
rich_latent_step_max,rich_latent_geometry,latent_geometry
rich_latent_step_early,rich_latent_geometry,latent_geometry
rich_latent_step_middle,rich_latent_geometry,latent_geometry
rich_latent_step_late,rich_latent_geometry,latent_geometry
rich_latent_step_auc,rich_latent_geometry,latent_geometry
rich_latent_step_slope,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_t0,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_t1,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_t2,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_t3,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_t4,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_mean,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_std,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_min,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_max,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_early,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_middle,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_late,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_auc,rich_latent_geometry,latent_geometry
rich_latent_turn_cos_slope,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_t0,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_t1,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_t2,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_t3,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_t4,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_mean,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_std,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_min,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_max,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_early,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_middle,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_late,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_auc,rich_latent_geometry,latent_geometry
rich_latent_turn_angle_slope,rich_latent_geometry,latent_geometry
rich_latent_accel_t0,rich_latent_geometry,latent_geometry
rich_latent_accel_t1,rich_latent_geometry,latent_geometry
rich_latent_accel_t2,rich_latent_geometry,latent_geometry
rich_latent_accel_t3,rich_latent_geometry,latent_geometry
rich_latent_accel_t4,rich_latent_geometry,latent_geometry
rich_latent_accel_mean,rich_latent_geometry,latent_geometry
rich_latent_accel_std,rich_latent_geometry,latent_geometry
rich_latent_accel_min,rich_latent_geometry,latent_geometry
