feature,family,coarse_groups
rich_guidance_t1_q25,rich_guidance_moments,guidance
rich_guidance_t1_median,rich_guidance_moments,guidance
rich_guidance_t1_q75,rich_guidance_moments,guidance
rich_guidance_t1_q95,rich_guidance_moments,guidance
rich_guidance_t1_absmean,rich_guidance_moments,guidance
rich_guidance_t1_rms,rich_guidance_moments,guidance
rich_guidance_t1_maxabs,rich_guidance_moments,guidance
rich_guidance_t1_nearzero,rich_guidance_moments,guidance
rich_score_t1_channel_cv,rich_score_spatial,spatial
rich_score_t1_channel_ratio,rich_score_spatial,spatial
rich_score_t1_channel_pr,rich_score_spatial,spatial
rich_score_t1_h_autocorr,rich_score_spatial,spatial
rich_score_t1_v_autocorr,rich_score_spatial,spatial
rich_score_t1_fft_low,rich_score_fft,fft
rich_score_t1_fft_mid,rich_score_fft,fft
rich_score_t1_fft_high,rich_score_fft,fft
rich_score_t1_fft_high_low,rich_score_fft,fft
rich_score_t1_fft_entropy,rich_score_fft,fft
rich_score_t1_fft_centroid,rich_score_fft,fft
rich_latent_t1_mean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_var,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_skew,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_kurtosis,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q05,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q25,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_median,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q75,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_q95,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_absmean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_rms,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_maxabs,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_nearzero,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_extreme3,rich_latent_typicality,latent_endpoint_stats
rich_latent_t1_pr,rich_latent_typicality,latent_endpoint_stats
rich_score_t2_mean,rich_score_moments,score_moments
rich_score_t2_var,rich_score_moments,score_moments
rich_score_t2_skew,rich_score_moments,score_moments
rich_score_t2_kurtosis,rich_score_moments,score_moments
rich_score_t2_q05,rich_score_moments,score_moments
rich_score_t2_q25,rich_score_moments,score_moments
rich_score_t2_median,rich_score_moments,score_moments
rich_score_t2_q75,rich_score_moments,score_moments
rich_score_t2_q95,rich_score_moments,score_moments
rich_score_t2_absmean,rich_score_moments,score_moments
rich_score_t2_rms,rich_score_moments,score_moments
rich_score_t2_maxabs,rich_score_moments,score_moments
rich_score_t2_nearzero,rich_score_moments,score_moments
rich_guidance_t2_mean,rich_guidance_moments,guidance
rich_guidance_t2_var,rich_guidance_moments,guidance
rich_guidance_t2_skew,rich_guidance_moments,guidance
rich_guidance_t2_kurtosis,rich_guidance_moments,guidance
rich_guidance_t2_q05,rich_guidance_moments,guidance
rich_guidance_t2_q25,rich_guidance_moments,guidance
rich_guidance_t2_median,rich_guidance_moments,guidance
rich_guidance_t2_q75,rich_guidance_moments,guidance
rich_guidance_t2_q95,rich_guidance_moments,guidance
rich_guidance_t2_absmean,rich_guidance_moments,guidance
rich_guidance_t2_rms,rich_guidance_moments,guidance
rich_guidance_t2_maxabs,rich_guidance_moments,guidance
rich_guidance_t2_nearzero,rich_guidance_moments,guidance
rich_score_t2_channel_cv,rich_score_spatial,spatial
rich_score_t2_channel_ratio,rich_score_spatial,spatial
rich_score_t2_channel_pr,rich_score_spatial,spatial
rich_score_t2_h_autocorr,rich_score_spatial,spatial
rich_score_t2_v_autocorr,rich_score_spatial,spatial
rich_score_t2_fft_low,rich_score_fft,fft
rich_score_t2_fft_mid,rich_score_fft,fft
rich_score_t2_fft_high,rich_score_fft,fft
rich_score_t2_fft_high_low,rich_score_fft,fft
rich_score_t2_fft_entropy,rich_score_fft,fft
rich_score_t2_fft_centroid,rich_score_fft,fft
rich_latent_t2_mean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_var,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_skew,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_kurtosis,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_q05,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_q25,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_median,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_q75,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_q95,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_absmean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_rms,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_maxabs,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_nearzero,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_extreme3,rich_latent_typicality,latent_endpoint_stats
rich_latent_t2_pr,rich_latent_typicality,latent_endpoint_stats
rich_score_t3_mean,rich_score_moments,score_moments
rich_score_t3_var,rich_score_moments,score_moments
rich_score_t3_skew,rich_score_moments,score_moments
rich_score_t3_kurtosis,rich_score_moments,score_moments
rich_score_t3_q05,rich_score_moments,score_moments
rich_score_t3_q25,rich_score_moments,score_moments
rich_score_t3_median,rich_score_moments,score_moments
rich_score_t3_q75,rich_score_moments,score_moments
rich_score_t3_q95,rich_score_moments,score_moments
rich_score_t3_absmean,rich_score_moments,score_moments
rich_score_t3_rms,rich_score_moments,score_moments
rich_score_t3_maxabs,rich_score_moments,score_moments
rich_score_t3_nearzero,rich_score_moments,score_moments
rich_guidance_t3_mean,rich_guidance_moments,guidance
rich_guidance_t3_var,rich_guidance_moments,guidance
rich_guidance_t3_skew,rich_guidance_moments,guidance
rich_guidance_t3_kurtosis,rich_guidance_moments,guidance
rich_guidance_t3_q05,rich_guidance_moments,guidance
rich_guidance_t3_q25,rich_guidance_moments,guidance
rich_guidance_t3_median,rich_guidance_moments,guidance
rich_guidance_t3_q75,rich_guidance_moments,guidance
rich_guidance_t3_q95,rich_guidance_moments,guidance
rich_guidance_t3_absmean,rich_guidance_moments,guidance
rich_guidance_t3_rms,rich_guidance_moments,guidance
rich_guidance_t3_maxabs,rich_guidance_moments,guidance
rich_guidance_t3_nearzero,rich_guidance_moments,guidance
rich_score_t3_channel_cv,rich_score_spatial,spatial
rich_score_t3_channel_ratio,rich_score_spatial,spatial
rich_score_t3_channel_pr,rich_score_spatial,spatial
rich_score_t3_h_autocorr,rich_score_spatial,spatial
rich_score_t3_v_autocorr,rich_score_spatial,spatial
rich_score_t3_fft_low,rich_score_fft,fft
rich_score_t3_fft_mid,rich_score_fft,fft
rich_score_t3_fft_high,rich_score_fft,fft
rich_score_t3_fft_high_low,rich_score_fft,fft
rich_score_t3_fft_entropy,rich_score_fft,fft
rich_score_t3_fft_centroid,rich_score_fft,fft
rich_latent_t3_mean,rich_latent_typicality,latent_endpoint_stats
rich_latent_t3_var,rich_latent_typicality,latent_endpoint_stats
rich_latent_t3_skew,rich_latent_typicality,latent_endpoint_stats
rich_latent_t3_kurtosis,rich_latent_typicality,latent_endpoint_stats
rich_latent_t3_q05,rich_latent_typicality,latent_endpoint_stats
