feature,sd15_coef,amused_coef,sd15_abs_rank,amused_abs_rank,family,sd15_sign,amused_sign,sign_agree,min_abs_rank
rich_latent_t5_pr,-0.032533772257250064,-0.0559900109195612,332,62,rich_latent_typicality,-1,-1,True,62
rich_guidance_t2_mean,-0.08922802311363309,-0.005667617543905175,62,565,rich_guidance_moments,-1,-1,True,62
rich_score_consecutive_cos_t3,0.08905786575360346,0.03407632091429008,63,171,rich_score_dynamics,1,1,True,63
rich_score_crosscos_3_4,0.08905786575360346,0.03407632091429008,63,171,rich_crosstime,1,1,True,63
rich_latent_t1_extreme3,0.0671178277686118,0.05587077111839323,115,63,rich_latent_typicality,1,1,True,63
rich_guidance_dz_orthfrac_t0,-0.010629277171989639,-0.05574714412571414,540,64,rich_alignment,-1,-1,True,64
rich_score_change_t4,0.04190696700723962,0.055615124997612446,256,65,rich_score_dynamics,1,1,True,65
rich_score_t4_q05,0.0876454161526597,0.020956725300363903,65,319,rich_score_moments,1,1,True,65
rich_score_change_late,0.04190696700723962,0.055615124997612446,256,65,rich_score_dynamics,1,1,True,65
rich_score_t0_nearzero,-0.08632780545358641,-0.018701435936108343,66,352,rich_score_moments,-1,-1,True,66
rich_latent_t5_nearzero,-0.08475125402248983,-0.01215508990181405,67,458,rich_latent_typicality,-1,-1,True,67
rich_score_t4_q25,-0.005381527496725765,0.05554135653054988,600,67,rich_score_moments,-1,1,False,67
rich_latent_t0_pr,-0.08472613602609069,-0.030883713051086732,68,196,rich_latent_typicality,-1,-1,True,68
rich_score_change_min,0.0402564184725471,0.05500679770562964,273,68,rich_score_dynamics,1,1,True,68
rich_latent_t1_pr,-0.08471224237493749,-0.03092738688415435,69,195,rich_latent_typicality,-1,-1,True,69
rich_latent_t4_pr,-0.032717487781507876,-0.05449696123561076,331,69,rich_latent_typicality,-1,-1,True,69
rich_latent_t5_kurtosis,0.04751534453460158,0.054031392116223716,205,70,rich_latent_typicality,1,1,True,70
rich_cond_uncond_normratio_late,-0.08450848776101073,-0.029598654568503663,70,208,rich_alignment,-1,-1,True,70
rich_score_t4_fft_entropy,0.08421309502038078,0.005609127955530437,71,566,rich_score_fft,1,1,True,71
rich_latent_t3_pr,-0.04583200142667599,-0.05358827334889919,216,72,rich_latent_typicality,-1,-1,True,72
rich_score_angle_t3,-0.0841774370740119,-0.030554919205108548,72,197,rich_score_dynamics,-1,-1,True,72
rich_guidance_cond_align_t4,-0.08340307600027222,0.0066418671033052585,73,554,rich_alignment,-1,1,False,73
rich_guidance_t3_kurtosis,-0.05468234140168844,0.05263727487233042,174,73,rich_guidance_moments,-1,1,False,73
rich_guidance_t4_maxabs,0.05003948528709831,0.052197368181609784,192,74,rich_guidance_moments,1,1,True,74
rich_dz_crosscos_0_4,0.08289611225237879,-0.013388169724580928,74,435,rich_crosstime,1,-1,False,74
rich_score_t4_fft_high,-0.03372689974125842,-0.05154147843385961,324,75,rich_score_fft,-1,-1,True,75
rich_dz_crosscos_2_5,-0.08256669572050586,0.011871164927905246,75,463,rich_crosstime,-1,1,False,75
rich_score_t1_kurtosis,-0.08205005055472471,0.036638335288666446,76,153,rich_score_moments,-1,1,False,76
rich_score_t0_median,-0.06204208440633818,0.05132587351429819,139,76,rich_score_moments,-1,1,False,76
rich_score_t1_fft_mid,-0.004844520713175118,0.05121103639858479,603,77,rich_score_fft,-1,1,False,77
rich_score_t2_channel_pr,-0.013218705002729382,0.05094983720089127,497,78,rich_score_spatial,-1,1,False,78
rich_score_change_t3,-0.07993008788345864,-0.044252496165074526,79,103,rich_score_dynamics,-1,-1,True,79
rich_score_t2_fft_mid,0.07931452119566673,0.04938927971399846,80,79,rich_score_fft,1,1,True,79
rich_latent_t4_kurtosis,0.04071359933088183,0.04915458666017247,268,80,rich_latent_typicality,1,1,True,80
rich_guidance_t0_q25,-0.07921743145213145,-0.029840691087208486,81,205,rich_guidance_moments,-1,-1,True,81
rich_guidance_t5_maxabs,-0.03809504111078708,0.048881646798394685,291,81,rich_guidance_moments,-1,1,False,81
rich_score_t2_channel_ratio,-0.0001731059155460289,-0.04884288672122054,652,82,rich_score_spatial,-1,-1,True,82
rich_score_t5_fft_mid,0.07878696553433072,0.01913314966846713,82,341,rich_score_fft,1,1,True,82
rich_guidance_t0_mean,-0.03972208759464982,-0.048515274795550144,279,84,rich_guidance_moments,-1,-1,True,84
rich_guidance_dz_align_middle,-0.07846744333196942,7.854191689504209e-05,84,652,rich_alignment,-1,1,False,84
rich_score_t5_fft_high,-0.07830840131200784,-0.04325386841181094,85,114,rich_score_fft,-1,-1,True,85
rich_latent_t2_maxabs,-0.0007860322423013807,0.04846221512597493,646,85,rich_latent_typicality,-1,1,False,85
rich_score_t3_kurtosis,-0.024767001172990685,0.048392692755059405,381,87,rich_score_moments,-1,1,False,87
rich_score_t3_fft_mid,0.07793714194789429,0.026867893766736758,87,236,rich_score_fft,1,1,True,87
rich_score_t4_h_autocorr,-0.07744051257404935,0.012869779741232237,88,444,rich_score_spatial,-1,1,False,88
rich_score_t5_fft_centroid,-0.009095248310258342,-0.047827082684438735,560,88,rich_score_fft,-1,-1,True,88
rich_guidance_cond_align_min,0.07723445839926475,0.015247613634530253,89,400,rich_alignment,1,1,True,89
rich_cond_dz_align_std,0.07720294218482768,0.025762600150283695,90,247,rich_alignment,1,1,True,90
rich_score_t2_kurtosis,-0.003573845332839381,0.04772118573914938,617,90,rich_score_moments,-1,1,False,90
rich_latent_t0_maxabs,0.011047006074238669,0.04727779392507126,537,91,rich_latent_typicality,1,1,True,91
rich_cond_uncond_cos_max,-0.0762749573035385,-0.03509032313791281,91,163,rich_alignment,-1,-1,True,91
rich_cond_uncond_normratio_min,0.07426044842944923,-0.004694794642697513,92,585,rich_alignment,1,-1,False,92
rich_latent_t1_maxabs,0.011148175624217473,0.04725951373836578,532,92,rich_latent_typicality,1,1,True,92
rich_uncond_dz_align_t5,-0.07395619836461395,-0.017113333894120078,93,373,rich_alignment,-1,-1,True,93
rich_guidance_t1_mean,-0.03466450675344651,0.04703630182368027,320,93,rich_guidance_moments,-1,1,False,93
rich_latent_t5_q25,-0.02654874443220535,0.04671353920090394,366,94,rich_latent_typicality,-1,1,False,94
rich_cond_dz_align_t5,-0.07389571228840083,-0.018969463399859447,94,345,rich_alignment,-1,-1,True,94
rich_score_t5_fft_low,0.03955634244217499,0.046626242456907045,282,95,rich_score_fft,1,1,True,95
rich_cond_uncond_cos_t0,-0.07360663594222029,0.0033800598659612328,95,606,rich_alignment,-1,1,False,95
rich_uncond_dz_align_std,0.07332172984378586,0.026558471427181495,96,242,rich_alignment,1,1,True,96
rich_score_t0_fft_high,0.01408492635863373,0.04593378296488202,491,96,rich_score_fft,1,1,True,96
rich_guidance_t1_skew,-0.05084260994788965,-0.045877501020676614,190,97,rich_guidance_moments,-1,-1,True,97
rich_guidance_dz_orthfrac_slope,-0.07217517227820376,0.04437288508693107,97,102,rich_alignment,-1,1,False,97
rich_score_t1_mean,0.0021850233914634345,-0.04520128601098769,635,98,rich_score_moments,1,-1,False,98
rich_guidance_dz_orthfrac_late,-0.07193089555258278,0.030041900663406822,98,203,rich_alignment,-1,1,False,98
rich_latent_accel_early,-0.020254710814990605,0.04504611170081332,423,99,rich_latent_geometry,-1,1,False,99
rich_latent_t4_maxabs,0.07155007243792319,0.021662626779018222,99,308,rich_latent_typicality,1,1,True,99
rich_score_t2_fft_entropy,0.07151659505587929,-0.015292226540337728,100,399,rich_score_fft,1,-1,False,100
