feature,sd15_coef,amused_coef,sd15_abs_rank,amused_abs_rank,family,sd15_sign,amused_sign,sign_agree,min_abs_rank
rich_score_secondchange_mean,-0.06081401145134431,0.009481269506375654,147,502,rich_score_dynamics,-1,1,False,147
rich_cond_dz_align_late,-0.06052436036553033,-0.02471693929332296,148,259,rich_alignment,-1,-1,True,148
rich_guidance_cond_align_t3,0.02915196852915742,0.03712089608019818,349,148,rich_alignment,1,1,True,148
rich_dz_crosscos_0_5,0.06043130226524038,-0.028994832753227177,149,212,rich_crosstime,1,-1,False,149
rich_score_secondchange_std,0.06012999526007428,0.012607990549238939,150,450,rich_score_dynamics,1,1,True,150
eps_late_early,0.0065544817684286315,-0.03700919227378744,584,150,legacy_noise,1,-1,False,150
rich_cond_dz_orthfrac_slope,0.042017689774981215,0.03691201302355913,255,151,rich_alignment,1,1,True,151
rich_guidance_t0_kurtosis,0.06012409351330079,-0.013890177715199936,151,425,rich_guidance_moments,1,-1,False,151
rich_score_t0_h_autocorr,0.0599827238688078,-0.03447668171190178,152,168,rich_score_spatial,1,-1,False,152
rich_score_angle_middle,-0.05929316706522657,-0.0096953900321781,153,498,rich_score_dynamics,-1,-1,True,153
rich_score_change_early,-0.009178024853754777,0.03661924348830388,559,154,rich_score_dynamics,-1,1,False,154
rich_score_t0_channel_pr,-0.05910903785222522,-0.018455010672172718,154,355,rich_score_spatial,-1,-1,True,154
rich_latent_turn_cos_t3,0.058881968993338155,0.01884684985764163,155,348,rich_latent_geometry,1,1,True,155
rich_dz_crosscos_3_4,0.058881968993338155,0.01884684985764163,155,348,rich_crosstime,1,1,True,155
rich_score_t5_channel_ratio,-0.015313441754110634,-0.03645205390618841,476,156,rich_score_spatial,-1,-1,True,156
rich_uncond_dz_align_late,-0.0587052957823222,-0.025026909170990746,157,255,rich_alignment,-1,-1,True,157
rich_score_t5_q75,-0.03708374494190517,-0.03623489750652315,298,158,rich_score_moments,-1,-1,True,158
rich_dz_crosscos_1_3,0.05870023824870927,0.030297046886477254,158,202,rich_crosstime,1,1,True,158
rich_score_t1_var,0.011596485016853291,0.03611124567472958,521,159,rich_score_moments,1,1,True,159
rich_guidance_cond_align_t0,0.05860250236921111,0.023591986902605992,159,279,rich_alignment,1,1,True,159
rich_score_t0_q75,-0.03513451668329903,0.03576193572666706,313,160,rich_score_moments,-1,1,False,160
rich_score_crosscos_2_5,-0.05845948760406389,-0.006770916820118004,160,551,rich_crosstime,-1,-1,True,160
rich_cond_uncond_normratio_t5,0.01452213024147537,-0.03547667778861821,482,162,rich_alignment,1,-1,False,162
rich_score_change_middle,-0.05733803386285716,-0.027972283069297884,163,225,rich_score_dynamics,-1,-1,True,163
rich_cond_dz_align_min,-0.05705920571486903,-0.022156336353728823,164,295,rich_alignment,-1,-1,True,164
rich_latent_t0_median,-0.017785273665979474,0.03489187506424281,445,164,rich_latent_typicality,-1,1,False,164
rich_latent_turn_angle_late,0.05671714026730412,0.022649691015710575,165,292,rich_latent_geometry,1,1,True,165
rich_latent_turn_angle_t4,0.05671714026730412,0.022649691015710575,165,292,rich_latent_geometry,1,1,True,165
rich_guidance_dz_orthfrac_t5,-0.04112875323899616,0.03474445497306306,264,165,rich_alignment,-1,1,False,165
rich_guidance_t0_q05,-0.05671365035026058,-0.0208017478026437,167,323,rich_guidance_moments,-1,-1,True,167
rich_guidance_t2_q25,-0.0040429749467408,0.03441732319073268,610,169,rich_guidance_moments,-1,1,False,169
rich_score_t2_q75,0.05566113220582441,0.013358178961808548,169,436,rich_score_moments,1,1,True,169
rich_guidance_t1_nearzero,-0.055575758377740724,0.01102148431891002,170,476,rich_guidance_moments,-1,1,False,170
rich_latent_t1_median,-0.017043595603987393,0.034093373862614955,454,170,rich_latent_typicality,-1,1,False,170
rich_guidance_t0_rms,0.0547183859757141,0.021021099220871208,172,317,rich_guidance_moments,1,1,True,172
rich_score_t2_q05,0.026590057085020612,-0.03398702014772678,365,173,rich_score_moments,1,-1,False,173
guidance_t0,0.0547170589594432,0.02102077346490054,173,318,legacy_guidance,1,1,True,173
rich_latent_accel_std,0.007519473525952624,0.03339100421242438,574,175,rich_latent_geometry,1,1,True,175
rich_guidance_t4_var,0.022768526141576786,0.033290555663218126,404,176,rich_guidance_moments,1,1,True,176
rich_latent_t4_q75,-0.05430290393241651,0.0004503672914509331,176,644,rich_latent_typicality,-1,1,False,176
rich_guidance_t3_q25,0.05191527907786226,0.033159254024831844,185,177,rich_guidance_moments,1,1,True,177
rich_guidance_t5_q05,-0.054024648179691125,-0.02164016234911104,178,310,rich_guidance_moments,-1,-1,True,178
rich_score_t3_q25,-0.01996260056463142,0.0331167744245552,426,178,rich_score_moments,-1,1,False,178
rich_guidance_cond_align_late,-0.05319336984977276,-0.003937726611400245,179,596,rich_alignment,-1,-1,True,179
rich_guidance_t2_q75,-0.0069183437966697965,-0.0330738028852223,579,179,rich_guidance_moments,-1,-1,True,179
rich_latent_t2_q75,-0.052719103526003605,0.023069992106565657,180,286,rich_latent_typicality,-1,1,False,180
rich_score_t0_q25,0.027810382913966543,-0.03294426944642208,356,181,rich_score_moments,1,-1,False,181
rich_cond_uncond_cos_std,-0.05270981950484171,-0.025483620118502266,181,252,rich_alignment,-1,-1,True,181
rich_latent_t4_q25,-0.04592773163350672,0.032938698704071706,215,182,rich_latent_typicality,-1,1,False,182
rich_latent_t1_q05,-0.05264383781957276,-0.011045850129943746,182,475,rich_latent_typicality,-1,-1,True,182
rich_cond_uncond_normratio_slope,-0.0524754049491277,-0.02283702883199083,183,289,rich_alignment,-1,-1,True,183
rich_score_t5_channel_pr,-0.007433106070309454,0.03264938272050901,575,184,rich_score_spatial,-1,1,False,184
rich_latent_t4_median,-0.05231003405315485,0.019841427183321353,184,332,rich_latent_typicality,-1,1,False,184
rich_latent_turn_angle_t1,-0.005501582653499113,-0.03259705777292668,597,185,rich_latent_geometry,-1,-1,True,185
rich_dz_crosscos_1_2,0.0026550645520966036,0.032360106816432095,630,186,rich_crosstime,1,1,True,186
rich_latent_turn_cos_t1,0.0026550645520966036,0.032360106816432095,630,186,rich_latent_geometry,1,1,True,186
rich_guidance_t1_q25,-0.051374819330543026,0.02192010895433319,187,305,rich_guidance_moments,-1,1,False,187
rich_guidance_t3_mean,-0.05114225061042058,0.007676285623688865,188,533,rich_guidance_moments,-1,1,False,188
rich_latent_t5_absmean,0.015468748276270265,-0.0319095414971134,475,189,rich_latent_typicality,1,-1,False,189
endpoint_mean,-0.0510413727139858,0.017533097041078527,189,366,endpoint,-1,1,False,189
rich_uncond_dz_align_t4,-0.03938474920399961,-0.03177836528041822,286,190,rich_alignment,-1,-1,True,190
rich_guidance_t1_q95,0.05082812177429545,0.00011277709058225403,191,651,rich_guidance_moments,1,1,True,191
eps_slope,-0.002707855131157676,-0.0317154455217863,627,191,legacy_noise,-1,-1,True,191
rich_score_norm_slope,-0.0027078523218106412,-0.031715439370769885,628,192,rich_score_dynamics,-1,-1,True,192
guidance_late,0.021700001013961537,0.031085892002248667,415,193,legacy_guidance,1,1,True,193
rich_latent_t0_q05,-0.05002254593421397,-0.010403123873404033,193,489,rich_latent_typicality,-1,-1,True,193
rich_guidance_dz_orthfrac_mean,-0.04962490132686042,0.013196357469339162,194,439,rich_alignment,-1,1,False,194
rich_score_t4_q95,-0.0036430867740566463,-0.03096035677565827,616,194,rich_score_moments,-1,-1,True,194
rich_score_t5_h_autocorr,-0.04945355602450816,0.0044776296649814825,195,588,rich_score_spatial,-1,1,False,195
rich_guidance_dz_align_t0,0.04937786272743619,0.022886078697316146,196,287,rich_alignment,1,1,True,196
rich_cond_uncond_cos_middle,0.04858510833499131,0.01863596586068937,198,353,rich_alignment,1,1,True,198
rich_cond_uncond_normratio_t2,-0.012619719989171212,-0.030464191636419474,506,199,rich_alignment,-1,-1,True,199
rich_latent_t1_mean,-0.048296059488385466,0.014603324864759492,199,408,rich_latent_typicality,-1,1,False,199
rich_latent_t2_median,-0.043491780046949195,0.030430246791307864,232,200,rich_latent_typicality,-1,1,False,200
rich_latent_t0_mean,-0.04828493176504416,0.01459501198047318,200,409,rich_latent_typicality,-1,1,False,200
rich_guidance_t0_q95,0.04822021945926128,0.019102201219728637,202,342,rich_guidance_moments,1,1,True,202
rich_latent_t2_mean,-0.04818844212014144,0.014195508667999283,203,418,rich_latent_typicality,-1,1,False,203
rich_cond_uncond_normratio_t3,0.04767334672939904,0.0184105236139248,204,356,rich_alignment,1,1,True,204
rich_latent_turn_angle_early,-0.020755991760111885,-0.029874817289592327,421,204,rich_latent_geometry,-1,-1,True,204
rich_latent_t3_mean,-0.04675024656520128,0.014069763872370512,206,421,rich_latent_typicality,-1,1,False,206
rich_cond_uncond_normratio_t0,0.014437510383263286,0.02961536929827469,483,207,rich_alignment,1,1,True,207
rich_latent_t3_q75,-0.046563237681316,0.016841495559662384,207,378,rich_latent_typicality,-1,1,False,207
rich_latent_turn_cos_t4,-0.04624844107077474,-0.019143553679982557,208,338,rich_latent_geometry,-1,-1,True,208
rich_dz_crosscos_4_5,-0.04624844107077474,-0.019143553679982557,208,338,rich_crosstime,-1,-1,True,208
rich_latent_turn_cos_late,-0.04624844107077474,-0.019143553679982557,208,338,rich_latent_geometry,-1,-1,True,208
rich_score_t3_skew,-0.027012329709783327,0.029487306794074183,361,209,rich_score_moments,-1,1,False,209
rich_cond_dz_align_t4,-0.04301598960945467,-0.029339602187019212,241,210,rich_alignment,-1,-1,True,210
rich_guidance_dz_orthfrac_auc,-0.0461868018127317,0.010248817651428595,211,490,rich_alignment,-1,1,False,211
rich_score_secondchange_t1,-0.04602588571756227,0.027501797686680762,212,229,rich_score_dynamics,-1,1,False,212
rich_guidance_cond_align_slope,-0.046001119925570474,-0.00848636070438966,213,519,rich_alignment,-1,-1,True,213
rich_guidance_t4_q95,0.02517357648103504,0.028839118767261838,375,213,rich_guidance_moments,1,1,True,213
rich_latent_t5_median,-0.045947742235099856,0.019863737100140142,214,331,rich_latent_typicality,-1,1,False,214
rich_score_secondchange_early,-0.026254177430574205,0.02869006972371252,369,215,rich_score_dynamics,-1,1,False,215
rich_guidance_cond_align_t2,-0.04570285596467164,-0.01697128563335353,217,377,rich_alignment,-1,-1,True,217
rich_score_secondchange_min,-0.045624732701608724,-0.0032398238638663914,218,607,rich_score_dynamics,-1,-1,True,218
rich_guidance_t4_rms,0.01696329852537098,0.028607412221236177,458,218,rich_guidance_moments,1,1,True,218
guidance_t4,0.016959410019855896,0.02860730998714632,459,219,legacy_guidance,1,1,True,219
rich_latent_t4_mean,-0.045612722179157954,0.014209784547883906,219,417,rich_latent_typicality,-1,1,False,219
rich_score_secondchange_t3,-0.04539693984249715,-0.0031092725853740974,220,610,rich_score_dynamics,-1,-1,True,220
rich_score_secondchange_late,-0.04539693984249715,-0.0031092725853740974,220,610,rich_score_dynamics,-1,-1,True,220
rich_guidance_t3_q75,-0.026497809765998824,-0.02844338324437246,367,220,rich_guidance_moments,-1,-1,True,220
rich_score_t2_median,-0.010020942542576738,-0.028343995983851254,543,221,rich_score_moments,-1,-1,True,221
rich_latent_t0_var,-0.003492723943253713,0.02822965682722161,619,222,rich_latent_typicality,-1,1,False,222
rich_cond_dz_align_t0,-0.045135448314988065,0.010706680877832246,222,481,rich_alignment,-1,1,False,222
rich_cond_dz_align_max,-0.045135448314988065,0.010706680877832246,222,481,rich_alignment,-1,1,False,222
rich_latent_t1_var,-0.0035605619604296757,0.02820985349601028,618,223,rich_latent_typicality,-1,1,False,223
rich_latent_t0_rms,-0.02423523739396626,0.02798914718786826,386,224,rich_latent_typicality,-1,1,False,224
rich_latent_t2_q05,-0.045067999793977465,-0.01808902919952762,224,360,rich_latent_typicality,-1,-1,True,224
rich_score_consecutive_cos_mean,0.0448473733355071,-0.0025097541147630566,225,625,rich_score_dynamics,1,-1,False,225
rich_latent_t1_rms,-0.024279035558940423,0.02797162765839982,385,226,rich_latent_typicality,-1,1,False,226
rich_cond_dz_orthfrac_late,0.04477039866137058,0.020164107519891967,227,329,rich_alignment,1,1,True,227
rich_score_secondchange_slope,-0.04457147334209473,-0.02180931103456137,228,307,rich_score_dynamics,-1,-1,True,228
rich_score_angle_auc,-0.044143783591654474,-0.004414138142734378,229,590,rich_score_dynamics,-1,-1,True,229
rich_latent_t5_skew,0.04399549069797903,-0.02639746666415341,230,244,rich_latent_typicality,1,-1,False,230
rich_cond_uncond_cos_early,-0.04374291894808786,0.007327043473650681,231,540,rich_alignment,-1,1,False,231
rich_latent_turn_cos_middle,0.04345173294189325,0.013856171377481625,233,426,rich_latent_geometry,1,1,True,233
rich_guidance_dz_align_t1,-0.0031896048860900537,-0.0273224674878341,624,233,rich_alignment,-1,-1,True,233
rich_score_angle_max,-0.04330835138247524,0.013055429584838019,234,441,rich_score_dynamics,-1,1,False,234
rich_score_angle_t0,-0.04330835138247524,0.013055429584838019,234,441,rich_score_dynamics,-1,1,False,234
rich_score_change_std,0.03151588251367491,0.027037125825452393,337,235,rich_score_dynamics,1,1,True,235
rich_score_crosscos_0_1,0.04320670476907364,-0.012799252750091014,236,445,rich_crosstime,1,-1,False,236
rich_score_consecutive_cos_min,0.04320670476907364,-0.012799252750091014,236,445,rich_score_dynamics,1,-1,False,236
rich_score_consecutive_cos_t0,0.04320670476907364,-0.012799252750091014,236,445,rich_score_dynamics,1,-1,False,236
rich_score_crosscos_1_4,-0.009496783362700434,0.026854407373756585,557,237,rich_crosstime,-1,1,False,237
rich_score_t4_var,-0.015218025032097534,-0.02681945942518205,477,238,rich_score_moments,-1,-1,True,238
rich_guidance_t1_absmean,0.04307938053603446,-0.008211905557659533,239,527,rich_guidance_moments,1,-1,False,239
eps_t4,-0.017413966053605925,-0.026720307441797552,447,239,legacy_noise,-1,-1,True,239
rich_score_consecutive_cos_slope,-0.04306564804554471,0.004531884367816945,240,587,rich_score_dynamics,-1,1,False,240
rich_score_t4_rms,-0.017413869407951043,-0.026720269462664238,448,240,rich_score_moments,-1,-1,True,240
rich_score_norm_t4,-0.017413869407951043,-0.026720269462664238,448,240,rich_score_dynamics,-1,-1,True,240
rich_score_t5_q95,-0.02334889362145682,-0.026555409384867737,394,243,rich_score_moments,-1,-1,True,243
rich_score_cumulative_angle,-0.04284704988541652,0.003193019545446174,244,609,rich_score_dynamics,-1,1,False,244
rich_latent_t3_median,-0.03694861979201143,0.026137751413134788,299,245,rich_latent_typicality,-1,1,False,245
rich_score_angle_mean,-0.04284704988541648,0.0031930195454462,245,608,rich_score_dynamics,-1,1,False,245
rich_guidance_t0_var,0.04267317173237987,0.012767970821693826,247,448,rich_guidance_moments,1,1,True,247
rich_latent_t5_mean,-0.04264791554694149,0.014862599802870384,248,404,rich_latent_typicality,-1,1,False,248
rich_score_t5_maxabs,0.04115530334834946,0.02570957693916414,263,248,rich_score_moments,1,1,True,248
rich_latent_turn_cos_early,0.026647858590262287,0.025576727568409497,364,249,rich_latent_geometry,1,1,True,249
rich_score_consecutive_cos_middle,0.04250972651542438,0.006851984268238301,249,549,rich_score_dynamics,1,1,True,249
rich_score_relchange_mean,0.04245377102346561,-0.015020513448266073,250,403,rich_score_dynamics,1,-1,False,250
eps_late,-0.012089620122554413,-0.025548651454302754,515,250,legacy_noise,-1,-1,True,250
rich_score_consecutive_cos_early,0.0424473728985782,-0.0013595532021971326,251,633,rich_score_dynamics,1,-1,False,251
rich_score_norm_late,-0.012089598207860215,-0.02554863588916793,516,251,rich_score_dynamics,-1,-1,True,251
rich_score_change_auc,-0.042235748339801676,-0.0051701255167476085,252,575,rich_score_dynamics,-1,-1,True,252
rich_score_t4_q75,-0.02501605859306415,-0.025408296630045027,377,253,rich_score_moments,-1,-1,True,253
rich_guidance_t1_q75,0.042144412806260335,-0.021904347599594445,253,306,rich_guidance_moments,1,-1,False,253
rich_score_relchange_max,0.0421192796938184,-0.006184897107291726,254,559,rich_score_dynamics,1,-1,False,254
rich_latent_t2_kurtosis,-0.0009254710556485258,0.025220372403858386,644,254,rich_latent_typicality,-1,1,False,254
rich_guidance_t2_maxabs,-0.0009334468140916506,-0.024939508317496924,643,256,rich_guidance_moments,-1,-1,True,256
rich_score_relchange_std,0.04186847267373276,-0.004908151259504593,258,580,rich_score_dynamics,1,-1,False,258
rich_score_t4_skew,-0.00891379263295455,0.024716941357723166,562,258,rich_score_moments,-1,1,False,258
rich_latent_turn_cos_max,-0.041806739313625475,-0.021084661573065995,259,316,rich_latent_geometry,-1,-1,True,259
rich_score_t3_channel_pr,-0.04153665909160145,0.017273582810206013,260,370,rich_score_spatial,-1,1,False,260
eps_std,0.0025605123795233624,-0.024581396774937463,633,260,legacy_noise,1,-1,False,260
rich_score_norm_std,0.002560524508740523,-0.024581384366039943,632,261,rich_score_dynamics,1,-1,False,261
rich_score_relchange_t0,0.04121160138477139,-0.0061850004792863705,262,558,rich_score_dynamics,1,-1,False,262
rich_cond_dz_orthfrac_t4,0.008004877666855476,0.024447354921977128,570,262,rich_alignment,1,1,True,262
rich_score_t5_var,-0.005166896655182663,-0.02437696951147465,601,264,rich_score_moments,-1,-1,True,264
rich_latent_t2_rms,-0.008826682468367463,0.02435517536375911,565,265,rich_latent_typicality,-1,1,False,265
rich_score_t4_mean,0.04110768441634754,0.023247795974680466,265,282,rich_score_moments,1,1,True,265
rich_guidance_dz_align_mean,-0.041081183522594,-0.013925917051593828,266,423,rich_alignment,-1,-1,True,266
rich_score_norm_t5,-0.006187827597245449,-0.02414237931835366,589,266,rich_score_dynamics,-1,-1,True,266
rich_score_t5_rms,-0.006187827597245449,-0.02414237931835366,589,266,rich_score_moments,-1,-1,True,266
rich_score_norm_max,-0.006187827597245449,-0.02414237931835366,589,266,rich_score_dynamics,-1,-1,True,266
rich_cond_dz_align_mean,-0.04097611039625304,-0.010606971284589619,267,484,rich_alignment,-1,-1,True,267
rich_score_relchange_auc,0.040627363532898274,-0.023218759522443542,269,283,rich_score_dynamics,1,-1,False,269
eps_t5,-0.006187767795463408,-0.024142371075550225,592,269,legacy_noise,-1,-1,True,269
eps_max,-0.006187767795463408,-0.024142371075550225,592,269,legacy_noise,-1,-1,True,269
rich_dz_crosscos_1_4,0.04060189048824512,0.012219268044630473,270,456,rich_crosstime,1,1,True,270
rich_guidance_t4_kurtosis,-0.04035149942731625,0.022097717152296196,271,297,rich_guidance_moments,-1,1,False,271
rich_latent_turn_angle_t3,-0.03918544248569931,-0.02412119063687385,287,271,rich_latent_geometry,-1,-1,True,271
rich_score_t3_q05,0.04030264623602512,-0.010999438868632666,272,478,rich_score_moments,1,-1,False,272
rich_score_t3_median,-0.0039442540067265944,-0.023980760365282305,613,273,rich_score_moments,-1,-1,True,273
rich_score_crosscos_1_5,-0.03960950910817845,0.023970938099431453,281,274,rich_crosstime,-1,1,False,274
rich_latent_turn_angle_std,-0.04010443451378405,0.0008782138689300024,274,637,rich_latent_geometry,-1,1,False,274
rich_guidance_cond_align_std,-0.04002929759233629,-0.001968410061393292,275,630,rich_alignment,-1,-1,True,275
rich_latent_t3_q25,-0.025142400991497754,0.02389913845163148,376,275,rich_latent_typicality,-1,1,False,275
pixel_roundtrip_mse,-0.012388918289981806,-0.023879554957115124,511,276,roundtrip,-1,-1,True,276
rich_latent_turn_cos_std,-0.04000123575382557,0.003105283129860258,276,613,rich_latent_geometry,-1,1,False,276
rich_latent_t2_var,0.008879604062116552,0.023864519945803665,564,277,rich_latent_typicality,1,1,True,277
rich_score_consecutive_cos_auc,0.03977956805834439,0.004399258855645278,277,591,rich_score_dynamics,1,1,True,277
rich_guidance_t5_absmean,0.039759909655494474,0.018557051362154024,278,354,rich_guidance_moments,1,1,True,278
rich_score_relchange_early,0.039619305493050545,-0.0071559747627321256,280,543,rich_score_dynamics,1,-1,False,280
rich_guidance_dz_align_min,-0.011388634035717477,0.023287062270286898,526,280,rich_alignment,-1,1,False,280
rich_guidance_t4_q05,-0.001798821696138605,-0.023270318438320038,638,281,rich_guidance_moments,-1,-1,True,281
rich_score_t4_median,0.03953853917552473,-0.016575241049073722,283,383,rich_score_moments,1,-1,False,283
rich_latent_t0_absmean,-0.03953328076970531,0.022868842173080862,284,288,rich_latent_typicality,-1,1,False,284
rich_score_t0_absmean,-0.022890291312773488,0.023206316100435425,402,284,rich_score_moments,-1,1,False,284
rich_latent_t1_absmean,-0.039487987282100456,0.02283430102791111,285,291,rich_latent_typicality,-1,1,False,285
rich_latent_turn_cos_t0,0.03851077219894202,-0.00019347702855379906,288,648,rich_latent_geometry,1,-1,False,288
rich_latent_turn_cos_min,0.03851077219894202,-0.00019347702855379906,288,648,rich_latent_geometry,1,-1,False,288
rich_dz_crosscos_0_1,0.03851077219894202,-0.00019347702855379906,288,648,rich_crosstime,1,-1,False,288
rich_cond_uncond_cos_slope,0.03497468035088386,-0.022836762707770148,314,290,rich_alignment,1,-1,False,290
rich_score_relchange_slope,-0.03784038456270898,0.005338863643506383,292,569,rich_score_dynamics,-1,1,False,292
rich_latent_t2_q95,-0.03781296285810364,-0.003614604136460946,293,605,rich_latent_typicality,-1,-1,True,293
rich_latent_turn_angle_max,-0.037661837853223364,0.0004708744656400283,294,642,rich_latent_geometry,-1,1,False,294
rich_score_angle_slope,0.024576269224178413,0.02243957949564737,383,294,rich_score_dynamics,1,1,True,294
rich_latent_turn_angle_t0,-0.037661837853223364,0.0004708744656400283,294,642,rich_latent_geometry,-1,1,False,294
rich_latent_turn_angle_slope,0.03765480585545209,0.012209848571852625,296,457,rich_latent_geometry,1,1,True,296
rich_guidance_t2_nearzero,-0.03736520659859532,0.017545519225458047,297,365,rich_guidance_moments,-1,1,False,297
rich_score_t3_q95,-0.01622054251209254,-0.022096809119728663,466,298,rich_score_moments,-1,-1,True,298
rich_score_t1_skew,0.014836874570310606,0.02209639322267513,480,299,rich_score_moments,1,1,True,299
rich_score_norm_middle,-0.016847796007708443,0.022021208598786413,462,300,rich_score_dynamics,-1,1,False,300
eps_middle,-0.016847800154394542,0.02202114989146444,460,301,legacy_noise,-1,1,False,301
rich_uncond_dz_align_mean,-0.03676812115655952,-0.010590534417531468,301,485,rich_alignment,-1,-1,True,301
eps_median,-0.016847800154394542,0.02202114989146444,460,301,legacy_noise,-1,1,False,301
rich_score_t3_channel_cv,0.03665340871274058,-0.018166209579150612,302,358,rich_score_spatial,1,-1,False,302
rich_score_t1_absmean,0.00659885068923704,0.02201191054901959,582,303,rich_score_moments,1,1,True,303
rich_score_crosscos_1_3,0.0043127884174395704,0.02192783331279707,608,304,rich_crosstime,1,1,True,304
rich_score_consecutive_cos_std,-0.03606240318978299,0.013251226751335646,304,438,rich_score_dynamics,-1,1,False,304
rich_score_angle_early,-0.03571596708367645,-0.007539381537390618,306,536,rich_score_dynamics,-1,-1,True,306
rich_score_t0_q05,0.035534576395626634,-0.020131064863699526,308,330,rich_score_moments,1,-1,False,308
rich_cond_dz_align_auc,-0.03538284097124512,-0.00926292261750195,309,506,rich_alignment,-1,-1,True,309
guidance_std,-0.006634573835419127,-0.02164771933089056,581,309,legacy_guidance,-1,-1,True,309
rich_latent_t4_q05,-0.035314264498685806,-0.010112750382732905,310,491,rich_latent_typicality,-1,-1,True,310
endpoint_var,0.015743851053898503,-0.02132870605686116,474,311,endpoint,1,-1,False,311
rich_score_t1_fft_entropy,-0.03522242742288188,-0.019653968733638796,311,334,rich_score_fft,-1,-1,True,311
rich_score_t0_channel_cv,0.03137445236253272,0.021290478456063137,338,312,rich_score_spatial,1,1,True,312
rich_dz_crosscos_0_2,0.03522214632176873,-0.012147029412385973,312,459,rich_crosstime,1,-1,False,312
endpoint_norm_per_dim,0.014080913899686772,-0.021236295788429643,492,314,endpoint,1,-1,False,314
rich_latent_t4_var,0.03468977884589864,0.007117007187953318,319,545,rich_latent_typicality,1,1,True,319
rich_score_t3_mean,0.034192654070849586,0.013584217972641484,321,429,rich_score_moments,1,1,True,321
rich_latent_turn_angle_min,0.027714443303980974,0.02095327627026868,358,321,rich_latent_geometry,1,1,True,321
rich_latent_t3_rms,0.008784684215677156,0.02080824452226533,566,322,rich_latent_typicality,1,1,True,322
rich_score_crosscos_3_5,0.03382965775548011,0.016485969723015623,323,386,rich_crosstime,1,1,True,323
guidance_slope,0.002732504474439629,0.020672779906502303,626,324,legacy_guidance,1,1,True,324
rich_score_change_slope,-0.00953046885907896,-0.02065907422580691,556,325,rich_score_dynamics,-1,-1,True,325
rich_cond_dz_orthfrac_t0,0.03361686602700299,-0.008848159151640177,325,512,rich_alignment,1,-1,False,325
rich_cond_dz_orthfrac_min,0.03361686602700299,-0.008848159151640177,325,512,rich_alignment,1,-1,False,325
rich_guidance_dz_align_late,-0.024738293918127173,-0.020584719884647853,382,326,rich_alignment,-1,-1,True,326
rich_score_change_t1,-0.03361561585968454,0.0029106649225849584,327,617,rich_score_dynamics,-1,1,False,327
rich_guidance_t3_absmean,-0.011049602073387432,-0.020401330730430416,536,327,rich_guidance_moments,-1,-1,True,327
eps_first_last,0.002481493128940721,-0.020170550881647372,634,328,legacy_noise,1,-1,False,328
rich_cond_uncond_normratio_max,0.033172342642619944,-0.0012427211040726227,329,635,rich_alignment,1,-1,False,329
rich_guidance_cond_align_auc,-0.03302953832542713,0.004434046168632935,330,589,rich_alignment,-1,1,False,330
rich_score_change_mean,-0.03251686753222243,0.00845574566148077,333,520,rich_score_dynamics,-1,1,False,333
rich_latent_t5_q75,-0.02216220601523329,-0.019797395866935005,411,333,rich_latent_typicality,-1,-1,True,333
rich_latent_t4_q95,0.032308909255008914,0.00865176780412393,334,516,rich_latent_typicality,1,1,True,334
rich_score_t4_maxabs,0.015888531045163058,0.019385554003135026,471,335,rich_score_moments,1,1,True,335
rich_latent_turn_angle_middle,-0.03184727065527629,-0.01802896061116169,335,361,rich_latent_geometry,-1,-1,True,335
rich_latent_t3_var,0.022485830673699934,0.01936055682247206,406,336,rich_latent_typicality,1,1,True,336
guidance_early,0.031278207211229495,0.0075995229751733406,339,535,legacy_guidance,1,1,True,339
rich_guidance_dz_align_early,0.031222709806912424,0.0006894393689275244,340,638,rich_alignment,1,1,True,340
rich_guidance_t2_kurtosis,0.031001153092401385,0.006831270785441033,342,550,rich_guidance_moments,1,1,True,342
rich_cond_dz_orthfrac_std,0.030982059693913735,0.016644524964324506,343,380,rich_alignment,1,1,True,343
rich_score_secondchange_t0,0.012675138241898231,0.01905169019482109,504,343,rich_score_dynamics,1,1,True,343
rich_score_secondchange_max,0.012675138241898231,0.01905169019482109,504,343,rich_score_dynamics,1,1,True,343
rich_uncond_dz_align_auc,-0.030275108125102746,-0.00948170410017053,346,501,rich_alignment,-1,-1,True,346
rich_score_t1_q75,0.004840659181546231,0.01895186680142929,604,346,rich_score_moments,1,1,True,346
rich_guidance_dz_align_max,0.0009949592271925754,0.018876055808699086,640,347,rich_alignment,1,1,True,347
rich_score_t1_q25,0.029811080384173464,0.005023314711035506,348,578,rich_score_moments,1,1,True,348
rich_score_angle_t2,-0.028824292941407734,0.009202371989497578,350,508,rich_score_dynamics,-1,1,False,350
rich_score_change_t2,-0.02881786747268384,-0.008644133135879386,351,517,rich_score_dynamics,-1,-1,True,351
rich_latent_turn_cos_slope,-0.028413454344890787,-0.011958788221633572,352,461,rich_latent_geometry,-1,-1,True,352
rich_guidance_dz_orthfrac_t1,0.028061797857120502,0.009086686511593743,355,510,rich_alignment,1,1,True,355
rich_cond_uncond_normratio_t1,0.023096824845711,-0.018298097164194643,399,357,rich_alignment,1,-1,False,357
rich_guidance_t5_q25,-0.014216499879811627,-0.01815073012412566,490,359,rich_guidance_moments,-1,-1,True,359
rich_score_t0_fft_entropy,-0.02745408802183684,-0.010417076840147995,359,487,rich_score_fft,-1,-1,True,359
rich_latent_t4_rms,0.027346007543703296,0.008966337570599439,360,511,rich_latent_typicality,1,1,True,360
