feature,family,coef,univariate_auroc,univariate_auroc_direction_free,paired_cohens_d,frac_pairs_fake_higher,sign_stability,boot_coef_std,boot_coef_iqr,boot_ci_lo,boot_ci_hi,abs_coef,abs_coef_rank,sign
rich_guidance_t3_nearzero,rich_guidance_moments,0.08871369858190023,0.6190277777777777,0.6190277777777777,0.2584279724349177,0.6333333333333333,0.86,0.0850922718381408,0.10643801428516966,-0.07303166696368739,0.2566947415102852,0.08871369858190023,37,1
rich_guidance_t4_q95,rich_guidance_moments,0.08323525535798881,0.5144444444444445,0.5144444444444445,0.06881823301660005,0.5,0.9633333333333334,0.04195581878094674,0.06005775227990494,-0.005365416512507575,0.15195985105033202,0.08323525535798881,38,1
rich_guidance_t3_q75,rich_guidance_moments,-0.08289930523676362,0.3834722222222222,0.6165277777777778,-0.33389877857116207,0.36666666666666664,0.8966666666666666,0.07910703292983107,0.10421960960444684,-0.2570285674017199,0.053180239587671,0.08289930523676362,39,-1
rich_guidance_t5_skew,rich_guidance_moments,0.08190983167113451,0.46472222222222226,0.5352777777777777,0.11524448024446048,0.4666666666666667,0.7166666666666667,0.11269069444993943,0.14254033998629564,-0.2171031386046426,0.23732789555481149,0.08190983167113451,40,1
rich_guidance_t2_q25,rich_guidance_moments,0.07792003784810254,0.6073611111111111,0.6073611111111111,0.32955781033909787,0.6333333333333333,0.8866666666666667,0.06466300983890802,0.08644325743137066,-0.052383589595934726,0.19861791951147473,0.07792003784810254,41,1
rich_guidance_t5_maxabs,rich_guidance_moments,0.07740836990787227,0.6498611111111111,0.6498611111111111,0.3593876503499946,0.6666666666666666,0.7533333333333333,0.11180868332235959,0.13693490685325904,-0.15261718108237565,0.2703127511196283,0.07740836990787227,42,1
rich_guidance_t0_var,rich_guidance_moments,0.07500258457903049,0.5730555555555555,0.5730555555555555,0.19873713803940693,0.55,0.9566666666666667,0.047047922947888066,0.0655163669721475,-0.011692527430325629,0.1739142636663121,0.07500258457903049,43,1
rich_guidance_t4_var,rich_guidance_moments,0.07492859223647952,0.5255555555555556,0.5255555555555556,0.07823782209566668,0.5,0.8733333333333333,0.05952731343012283,0.08556834242100883,-0.029957246834270812,0.18564525242945915,0.07492859223647952,44,1
rich_guidance_t0_rms,rich_guidance_moments,0.07150802064518207,0.5730555555555555,0.5730555555555555,0.2107695902100757,0.55,0.9966666666666667,0.032417452049158295,0.04501192373442808,0.012468437551806622,0.14236797243469887,0.07150802064518207,45,1
guidance_t0,legacy_guidance,0.07150333823880299,0.5730555555555555,0.5730555555555555,0.21076938806030227,0.55,0.9966666666666667,0.03241597149676737,0.04500903649842858,0.012465427182940567,0.14236155426920996,0.07150333823880299,46,1
rich_guidance_t2_absmean,rich_guidance_moments,-0.07027791539264605,0.3941666666666666,0.6058333333333334,-0.34038571405183016,0.4,0.9133333333333333,0.04613798656856122,0.06702110550854576,-0.15000901124391897,0.02221282158810345,0.07027791539264605,47,-1
rich_guidance_t0_absmean,rich_guidance_moments,0.06849977036928677,0.57,0.57,0.2032117984929519,0.55,0.9966666666666667,0.03090016832370926,0.041082810603885654,0.011997834529294685,0.13499013390075434,0.06849977036928677,48,1
rich_guidance_t2_q05,rich_guidance_moments,0.0680691907407635,0.6036111111111112,0.6036111111111112,0.333769454647021,0.6166666666666667,0.8333333333333334,0.0543968012120014,0.07477342529048309,-0.06620880330847706,0.1524135640433935,0.0680691907407635,49,1
rich_guidance_t4_rms,rich_guidance_moments,0.06639777606558815,0.5261111111111111,0.5261111111111111,0.08556111997054361,0.5,0.9733333333333334,0.036645831152668465,0.04913780261945647,-0.0006338124616565345,0.14234554933708207,0.06639777606558815,50,1
guidance_t4,legacy_guidance,0.06639045408869634,0.5261111111111111,0.5261111111111111,0.08556058081832983,0.5,0.9733333333333334,0.03664465187524215,0.049134998354333465,-0.0006417868785943228,0.1423406227616454,0.06639045408869634,51,1
rich_guidance_t2_skew,rich_guidance_moments,0.061407632895526226,0.525,0.525,0.1089936329757296,0.48333333333333334,0.6333333333333333,0.1195315196771293,0.16620173045451386,-0.2082029006219389,0.25212151448817893,0.061407632895526226,52,1
rich_guidance_t0_kurtosis,rich_guidance_moments,0.06113424840599496,0.5111111111111112,0.5111111111111112,0.13466105776274054,0.5666666666666667,0.7,0.11041956348813094,0.15265623859884056,-0.19960681779113826,0.2337965204922039,0.06113424840599496,53,1
rich_guidance_t2_q95,rich_guidance_moments,-0.05976450218866863,0.39472222222222225,0.6052777777777778,-0.3335970445720156,0.38333333333333336,0.8066666666666666,0.0525125985752376,0.07136212375430258,-0.14080152831424356,0.0653829460989323,0.05976450218866863,54,-1
rich_guidance_t0_q25,rich_guidance_moments,-0.05782394563980889,0.44180555555555556,0.5581944444444444,-0.1946028227229348,0.5,0.87,0.04348478168836104,0.052288754512924904,-0.14120954255145465,0.028881126566283864,0.05782394563980889,55,-1
rich_guidance_t4_nearzero,rich_guidance_moments,-0.0576475987980719,0.5236111111111111,0.5236111111111111,0.002168549831260001,0.5166666666666667,0.7566666666666667,0.07726847174459374,0.1041850689818561,-0.20589892722594128,0.08848264238055084,0.0576475987980719,56,-1
rich_guidance_t0_q75,rich_guidance_moments,0.05580436435573189,0.5620833333333333,0.5620833333333333,0.18865143735347195,0.5166666666666667,0.8666666666666667,0.041989177611789656,0.05270298815314142,-0.0332176143965539,0.13359468286995907,0.05580436435573189,57,1
guidance_t2,legacy_guidance,-0.05231360015445343,0.39555555555555555,0.6044444444444445,-0.3323396946255591,0.36666666666666664,0.81,0.051107629274491854,0.06834626842912091,-0.1279228767380743,0.06917732580654967,0.05231360015445343,58,-1
rich_guidance_t2_rms,rich_guidance_moments,-0.052312707778714516,0.39555555555555555,0.6044444444444445,-0.33233879635269403,0.36666666666666664,0.81,0.051107455060602894,0.06834869449975665,-0.12792580764077538,0.0691688897753665,0.052312707778714516,59,-1
rich_guidance_t4_kurtosis,rich_guidance_moments,0.05031713832160562,0.6066666666666667,0.6066666666666667,0.1243224581351153,0.6166666666666667,0.5266666666666666,0.10114091073940704,0.12820517299923542,-0.1984368149288311,0.18853084090072486,0.05031713832160562,60,1
rich_guidance_t5_q05,rich_guidance_moments,-0.05030450411346869,0.36291666666666667,0.6370833333333333,-0.3121222230128996,0.36666666666666664,0.7866666666666666,0.06743061787577159,0.08785134872863111,-0.18298758882138988,0.07865717841438179,0.05030450411346869,61,-1
rich_guidance_t0_q95,rich_guidance_moments,0.04524847272652795,0.5647222222222222,0.5647222222222222,0.19757985284419183,0.55,0.9133333333333333,0.03649318490807532,0.04927779442352286,-0.019167056409131987,0.1183442957665114,0.04524847272652795,62,1
rich_guidance_t5_absmean,rich_guidance_moments,0.039321175842854036,0.6302777777777777,0.6302777777777777,0.31649598571453097,0.6166666666666667,0.9,0.03319471351849938,0.044921551038912426,-0.021137430369679727,0.10604191378231716,0.039321175842854036,63,1
rich_guidance_t3_absmean,rich_guidance_moments,-0.0393156798811116,0.3825,0.6174999999999999,-0.33858578729776845,0.3333333333333333,0.8766666666666667,0.040094651418967356,0.060152320596722014,-0.12429064107314645,0.021427877035442154,0.0393156798811116,64,-1
rich_guidance_t1_q25,rich_guidance_moments,-0.03910787686497175,0.57875,0.57875,0.2195482950294283,0.6333333333333333,0.63,0.06942655492879793,0.0966387997358746,-0.15449420609631329,0.12023078483299823,0.03910787686497175,65,-1
