held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
SDXL,rich,boosted,608,0.7037777777777778,1.0,,0.628,0.7242776580264467,0.52,0.0,0.24,"[0.44861517754029834, 0.779470121381886]"
SDXL,core_rich,logistic,213,0.6897777777777777,0.01,,0.726,0.8085975275894142,0.7050000000000001,0.08,0.28,"[0.5752411537737624, 0.8695872205597607]"
SDXL,core_rich,pca_logistic,213,0.6922222222222223,0.01,40.0,0.722,0.8030438177333787,0.7050000000000001,0.08,0.28,"[0.5713721061547148, 0.8656489193173975]"
SDXL,core_rich,boosted,213,0.678,1.0,,0.6,0.6969640645954563,0.575,0.08,0.16,"[0.43675261936131493, 0.7641222222222221]"
SDXL,combined,logistic,652,0.7682222222222221,0.1,,0.624,0.7488801382313459,0.635,0.04,0.28,"[0.4689192651149173, 0.7761850202429148]"
SDXL,combined,pca_logistic,652,0.7328888888888889,0.1,80.0,0.7160000000000001,0.8007538659877202,0.635,0.0,0.2,"[0.5828947368421054, 0.8611388888888889]"
SDXL,combined,boosted,652,0.7142222222222222,1.0,,0.5860000000000001,0.7047744139911409,0.5,0.04,0.16,"[0.40793374485596706, 0.7510526895943562]"
VQDM,legacy,logistic,44,0.7048888888888888,10.0,,0.596,0.7295708876405481,0.52,0.2,0.24,"[0.41696003513394814, 0.7794642857142858]"
VQDM,legacy,pca_logistic,44,0.7046666666666667,10.0,40.0,0.596,0.7295708876405481,0.52,0.2,0.24,"[0.41696003513394814, 0.7794642857142858]"
VQDM,legacy,boosted,44,0.6535555555555556,1.0,,0.744,0.8040985109771616,0.64,0.12,0.32,"[0.592436974789916, 0.8827679638163509]"
VQDM,rich,logistic,608,0.726,0.1,,0.77,0.7963173303885379,0.74,0.2,0.44,"[0.6059362068965517, 0.9047928571428571]"
VQDM,rich,pca_logistic,608,0.6940000000000001,0.1,80.0,0.736,0.7693364879549969,0.7,0.12,0.28,"[0.5798280632411067, 0.8809933487565066]"
VQDM,rich,boosted,608,0.6548888888888889,1.0,,0.754,0.8333290861691756,0.74,0.32,0.44,"[0.6072801602772363, 0.8951038748832867]"
VQDM,core_rich,logistic,213,0.6922222222222222,0.1,,0.702,0.7971918675905826,0.7150000000000001,0.16,0.32,"[0.5357142857142857, 0.8513392857142856]"
VQDM,core_rich,pca_logistic,213,0.6957777777777778,0.1,40.0,0.696,0.7913534279617872,0.64,0.2,0.4,"[0.5295976064997804, 0.8461956521739131]"
VQDM,core_rich,boosted,213,0.6579999999999999,1.0,,0.7640000000000001,0.8165622485556561,0.7050000000000001,0.16,0.28,"[0.6106719367588933, 0.8880999999999999]"
VQDM,combined,logistic,652,0.7335555555555556,0.1,,0.762,0.803912805687284,0.7,0.24,0.44,"[0.5971726190476192, 0.8956369047619048]"
VQDM,combined,pca_logistic,652,0.7135555555555556,0.1,80.0,0.7,0.7706562772271836,0.7,0.12,0.28,"[0.5157608695652174, 0.8501568825910929]"
VQDM,combined,boosted,652,0.6657777777777778,1.0,,0.76,0.8207598527564457,0.675,0.32,0.44,"[0.6090809957586274, 0.8849320063993977]"
Wukong,legacy,logistic,44,0.6953333333333334,100.0,,0.642,0.6960949763119073,0.485,0.04,0.12,"[0.46220649821193305, 0.788873696030136]"
Wukong,legacy,pca_logistic,44,0.7011111111111111,0.1,10.0,0.6160000000000001,0.6529940866150447,0.55,0.04,0.08,"[0.4602292768959436, 0.774716220480287]"
Wukong,legacy,boosted,44,0.6766666666666666,1.0,,0.634,0.637558063647595,0.595,0.04,0.08,"[0.46224404761904764, 0.8025579831932772]"
Wukong,rich,logistic,608,0.7451111111111111,0.1,,0.802,0.8227680583515431,0.73,0.08,0.2,"[0.6521145044886464, 0.9115286855482932]"
Wukong,rich,pca_logistic,608,0.7213333333333334,0.01,80.0,0.738,0.7771903105590192,0.62,0.12,0.2,"[0.5789082080200502, 0.8667757936507936]"
Wukong,rich,boosted,608,0.7015555555555556,1.0,,0.654,0.6999076341531174,0.655,0.08,0.16,"[0.489952380952381, 0.8190975464259777]"
Wukong,core_rich,logistic,213,0.7082222222222223,0.01,,0.602,0.6585177560029254,0.535,0.04,0.16,"[0.43332995951417, 0.7619047619047619]"
Wukong,core_rich,pca_logistic,213,0.7084444444444444,0.01,40.0,0.604,0.6694268469120164,0.535,0.04,0.16,"[0.4403142857142857, 0.7619047619047619]"
Wukong,core_rich,boosted,213,0.6651111111111111,1.0,,0.6239999999999999,0.6702969567036192,0.56,0.0,0.16,"[0.446582995951417, 0.7823591269841268]"
Wukong,combined,logistic,652,0.7386666666666666,0.1,,0.81,0.8300760466595314,0.775,0.08,0.2,"[0.6626823357801619, 0.92309670781893]"
Wukong,combined,pca_logistic,652,0.7286666666666668,0.01,80.0,0.744,0.7788195200645043,0.645,0.12,0.2,"[0.5871766607877719, 0.8745123456790123]"
Wukong,combined,boosted,652,0.6924444444444444,1.0,,0.67,0.7249415637041596,0.585,0.12,0.16,"[0.507898814229249, 0.8251160649444964]"
ADM,noise_magnitude,family_logistic,18,,10.0,,0.626,0.6007073471226223,0.55,0.4,0.4,"[0.4525549407114625, 0.7940059670781894]"
BigGAN,noise_magnitude,family_logistic,18,,100.0,,0.458,0.5783897327803511,0.48,0.36,0.36,"[0.3138722222222222, 0.6296977124183006]"
DALLE2,noise_magnitude,family_logistic,18,,100.0,,0.5740000000000001,0.5703813937844159,0.54,0.48,0.48,"[0.4108357603494903, 0.7543189706712723]"
GLIDE,noise_magnitude,family_logistic,18,,10.0,,0.84,0.9061191529353708,0.7849999999999999,0.72,0.72,"[0.7012180335097001, 0.937800108095807]"
Midjourney,noise_magnitude,family_logistic,18,,100.0,,0.5700000000000001,0.6669470323976006,0.515,0.48,0.48,"[0.392711195054945, 0.7420511904761904]"
SD14,noise_magnitude,family_logistic,18,,100.0,,0.8019999999999999,0.7954454397109529,0.74,0.68,0.68,"[0.6636689075630252, 0.9187003968253967]"
