generator,condition,feature,stage,paired_cohens_d,univariate_auroc,n_pairs,clean_d,clean_auroc,d_retained_frac,auroc_change
amused,blur,lare_t200,score,-1.9720508136591763,0.9299999999999999,10,-2.093946415435116,0.92,0.9417866661355754,0.009999999999999898
amused,blur,score_norm_step0,score,1.0307467235499346,0.82,10,0.9963757007378197,0.8099999999999999,1.0344960468091133,0.010000000000000009
amused,blur,diffpath_curvature,trajectory,-0.6068351345618465,0.75,10,-0.6001292757234822,0.7,1.0111740238472453,0.050000000000000044
amused,blur,path_length,trajectory,1.3624129318947258,0.9400000000000001,10,1.3938684128189542,0.9400000000000001,0.9774329623693725,0.0
amused,blur,pixel_l1_roundtrip,roundtrip,-0.46725211094008723,0.72,10,-0.6164443866552081,0.78,0.7579793425898003,-0.06000000000000005
amused,blur,lpips_roundtrip,roundtrip,-1.801759358989819,0.94,10,-1.8574834892141998,0.97,0.970000201591049,-0.030000000000000027
amused,blur,latent_mse_roundtrip,roundtrip,0.3125939961954609,0.5900000000000001,10,0.26748457121974223,0.5599999999999999,1.1686430913380073,0.030000000000000138
amused,center_crop,lpips_ae,vae,-2.103887838633529,1.0,10,-2.208920800565451,1.0,0.9524505532724239,0.0
amused,center_crop,pixel_mse_ae,vae,-1.1633332069462845,0.9,10,-1.1052627536345432,0.9,1.0525399531656907,0.0
amused,center_crop,latent_mse_ae,vae,-0.8559452613297651,0.69,10,-0.48318348005466066,0.6699999999999999,1.771470459281711,0.020000000000000018
amused,center_crop,lare_t200,score,-1.9911366802346255,0.92,10,-2.093946415435116,0.92,0.9509014488419338,0.0
amused,center_crop,score_norm_step0,score,1.0199997532276934,0.84,10,0.9963757007378197,0.8099999999999999,1.023709984569455,0.030000000000000027
amused,center_crop,diffpath_curvature,trajectory,-1.0249537907417494,0.86,10,-0.6001292757234822,0.7,1.7078883370689135,0.16000000000000003
amused,center_crop,path_length,trajectory,1.1714720402232413,0.9199999999999999,10,1.3938684128189542,0.9400000000000001,0.8404466515272131,-0.02000000000000013
