feature,family,paired_d,frac_fake_higher,abs_d
rich_latent_turn_cos_t4,rich_latent_geometry,-0.35414130160717916,0.35,0.35414130160717916
rich_dz_crosscos_4_5,rich_crosstime,-0.35414130160717916,0.35,0.35414130160717916
rich_guidance_t3_maxabs,rich_guidance_moments,-0.3514793518760809,0.35,0.3514793518760809
rich_score_relchange_auc,rich_score_dynamics,-0.3509067468708462,0.3,0.3509067468708462
rich_guidance_t2_q75,rich_guidance_moments,-0.3504985018831543,0.38333333333333336,0.3504985018831543
rich_score_t2_v_autocorr,rich_score_spatial,0.3496385032221658,0.6666666666666666,0.3496385032221658
rich_latent_t2_q75,rich_latent_typicality,-0.34813549649559694,0.3,0.34813549649559694
rich_latent_t0_q75,rich_latent_typicality,-0.34779494209588413,0.3333333333333333,0.34779494209588413
rich_score_t4_q25,rich_score_moments,0.3471319596574515,0.6333333333333333,0.3471319596574515
rich_latent_t5_kurtosis,rich_latent_typicality,0.346899667843774,0.6333333333333333,0.346899667843774
rich_latent_t1_q75,rich_latent_typicality,-0.34685737749385376,0.3333333333333333,0.34685737749385376
rich_guidance_t3_q25,rich_guidance_moments,0.34605110477821605,0.6166666666666667,0.34605110477821605
guidance_t3,legacy_guidance,-0.3446520957261948,0.2833333333333333,0.3446520957261948
rich_guidance_t3_rms,rich_guidance_moments,-0.3446519090703753,0.2833333333333333,0.3446519090703753
rich_score_t5_q75,rich_score_moments,-0.3431268120091648,0.2833333333333333,0.3431268120091648
rich_latent_t3_rms,rich_latent_typicality,-0.3423769209692142,0.36666666666666664,0.3423769209692142
rich_latent_t5_pr,rich_latent_typicality,-0.3416315677541233,0.36666666666666664,0.3416315677541233
rich_latent_step_auc,rich_latent_geometry,-0.34147731430500694,0.4166666666666667,0.34147731430500694
rich_latent_t2_q95,rich_latent_typicality,-0.34048702273388404,0.38333333333333336,0.34048702273388404
rich_guidance_t2_absmean,rich_guidance_moments,-0.34038571405183016,0.4,0.34038571405183016
rich_guidance_t3_absmean,rich_guidance_moments,-0.33858578729776845,0.3333333333333333,0.33858578729776845
rich_guidance_t2_var,rich_guidance_moments,-0.3378173200427389,0.36666666666666664,0.3378173200427389
rich_latent_turn_cos_slope,rich_latent_geometry,-0.33637304981343513,0.31666666666666665,0.33637304981343513
rich_latent_turn_angle_t3,rich_latent_geometry,-0.3361321170762724,0.36666666666666664,0.3361321170762724
rich_guidance_t3_q75,rich_guidance_moments,-0.33389877857116207,0.36666666666666664,0.33389877857116207
rich_guidance_t2_q05,rich_guidance_moments,0.333769454647021,0.6166666666666667,0.333769454647021
