curve,group,step,n,mean,median,std
guidance_alignment,DALLE2,2,5,0.052590183272307654,0.03956083502892925,0.04517389427937535
guidance_alignment,DALLE2,3,5,0.032680648888024674,0.03001799412427424,0.052931406081121485
guidance_alignment,DALLE2,4,5,-0.008513993364482613,-0.025293663210049156,0.10424486883405173
guidance_alignment,DALLE2,5,5,-0.061849814145129786,-0.10612285152643489,0.12343093982502455
guidance_alignment,GLIDE,0,5,0.07015020991086333,0.0630679306414191,0.06888371035447392
guidance_alignment,GLIDE,1,5,0.0465450109971076,0.06622548775299608,0.07443400093675669
guidance_alignment,GLIDE,2,5,0.045702057754998686,0.07832872082717153,0.05098715137033566
guidance_alignment,GLIDE,3,5,-0.02575550746331694,-0.012838846235792923,0.048713889609481476
guidance_alignment,GLIDE,4,5,-0.040072030900628816,-0.045283788203890535,0.034450842306500744
guidance_alignment,GLIDE,5,5,-0.2616052414667895,-0.187811334578368,0.18465128727763083
guidance_alignment,Midjourney,0,5,0.07451737427067434,0.06839817197108257,0.04262459918185574
guidance_alignment,Midjourney,1,5,0.04057547982314509,0.10589895175121503,0.0918143103795208
guidance_alignment,Midjourney,2,5,0.06273206277207247,0.07938568612205954,0.059691879775726875
guidance_alignment,Midjourney,3,5,0.018269661254185963,0.022067779379590282,0.03327827296930333
guidance_alignment,Midjourney,4,5,0.013456064970450866,0.055032989152288464,0.0964466613856339
guidance_alignment,Midjourney,5,5,-0.009236105490647203,-0.01312103464005405,0.13057680469870905
guidance_alignment,SD14,0,5,0.03629084789835842,0.06308937385737097,0.051414095202043826
guidance_alignment,SD14,1,5,0.031845814673656866,0.011743155829464204,0.03389046893865283
guidance_alignment,SD14,2,5,0.003900736327351717,0.008477235199935427,0.03760363604590243
guidance_alignment,SD14,3,5,0.020837266599914247,0.012208262934999048,0.029908346706223107
guidance_alignment,SD14,4,5,-0.0026740908316776986,-0.030789187897520044,0.06426557481031765
guidance_alignment,SD14,5,5,0.06447431887460604,0.0740104348354316,0.13649804927973255
guidance_alignment,SDXL,0,5,0.020971981964836173,-0.006978593815490589,0.05337925912923016
guidance_alignment,SDXL,1,5,0.025503697600035652,0.0051562620441892955,0.04461022595709881
guidance_alignment,SDXL,2,5,0.0537718300676069,0.07793288271815846,0.04821553181709479
guidance_alignment,SDXL,3,5,0.08989578243379195,0.09555820170121854,0.056234693356139086
guidance_alignment,SDXL,4,5,0.0831201378165139,0.09309052412108672,0.028125173422136517
guidance_alignment,SDXL,5,5,0.10784147852775483,0.1340460944093281,0.20402004301447585
guidance_alignment,VQDM,0,5,0.08303071712854873,0.09525936540104042,0.04441475195426148
guidance_alignment,VQDM,1,5,0.06833726486741384,0.06483801937753139,0.05795366115369375
guidance_alignment,VQDM,2,5,0.06428060877719033,0.06244985205736273,0.04786087936080201
guidance_alignment,VQDM,3,5,-0.042482556902992206,-0.07313003619501252,0.0781320366923077
guidance_alignment,VQDM,4,5,-0.08267814515118714,-0.12186280438722055,0.08681366517899373
guidance_alignment,VQDM,5,5,-0.16965530665864037,-0.2553735559239469,0.21043286666078617
latent_step,real,0,40,0.0026425577225003046,0.0025597420983568104,0.0005050344228880466
latent_step,real,1,40,0.1956266659790127,0.19394353837198083,0.017459765725678655
latent_step,real,2,40,0.15503198037779492,0.1500353050811261,0.019149568269396473
latent_step,real,3,40,0.15083205032729508,0.14308594944522057,0.027583060074211643
latent_step,real,4,40,0.12520856567357339,0.11843797382520033,0.0317006723237318
latent_step,real,5,40,0.08397573877215156,0.07780944514944627,0.02800606174374112
latent_step,ADM,0,5,0.002179931936330748,0.0020866505132292206,0.00020507540696710288
latent_step,ADM,1,5,0.20382233474448735,0.20807716228721648,0.013647736300064845
latent_step,ADM,2,5,0.14224509131306368,0.14649501969500323,0.00892371810112153
latent_step,ADM,3,5,0.12823180762892844,0.12920001942978437,0.008326037534837365
latent_step,ADM,4,5,0.095101150601367,0.09678320262421086,0.011495641614661496
latent_step,ADM,5,5,0.058104528868484176,0.056191581484724015,0.009166670414838795
latent_step,BigGAN,0,5,0.002490119999889915,0.0027533199078111424,0.0005797999972600263
latent_step,BigGAN,1,5,0.2041983258753838,0.2068051467488732,0.016268998955033996
latent_step,BigGAN,2,5,0.15445484564281914,0.15722089122201066,0.022833936290570914
latent_step,BigGAN,3,5,0.14627906891099646,0.14848700215011112,0.02990852518527806
latent_step,BigGAN,4,5,0.11667682442820757,0.11952699704823595,0.036978330037058076
latent_step,BigGAN,5,5,0.07675076573147391,0.07339822619084596,0.03201539245889013
latent_step,DALLE2,0,5,0.003131346944066958,0.002961541481321424,0.0005223229663793397
latent_step,DALLE2,1,5,0.20116691548047444,0.1933754508609297,0.03475925832559109
latent_step,DALLE2,2,5,0.15666866101976382,0.15488793820459593,0.01937867635990801
latent_step,DALLE2,3,5,0.15406793305355082,0.1435325215497811,0.02743744990533048
latent_step,DALLE2,4,5,0.12958816639881043,0.11922750943295418,0.027537837500566875
latent_step,DALLE2,5,5,0.08709245969243895,0.08311036780937994,0.028921973066377293
latent_step,GLIDE,0,5,0.003904598221003551,0.00489813660832481,0.001328117713735647
latent_step,GLIDE,1,5,0.2253436162627116,0.22626012734460127,0.011171047454153801
latent_step,GLIDE,2,5,0.21697058179172196,0.24690346978141123,0.03971190146565957
latent_step,GLIDE,3,5,0.2403093701275254,0.28427359803601376,0.055593894475257005
latent_step,GLIDE,4,5,0.2220083037488957,0.27043189766309805,0.062367103291996524
latent_step,GLIDE,5,5,0.16948676020530826,0.21177572406991366,0.05666619887175181
latent_step,Midjourney,0,5,0.002874952316811642,0.0027604435110897795,0.00022065615257667694
latent_step,Midjourney,1,5,0.19921089486607627,0.1981865683450789,0.006654397093650031
latent_step,Midjourney,2,5,0.17100074968578577,0.16508902646767754,0.022665890362987592
latent_step,Midjourney,3,5,0.17243790042731932,0.16527812202169653,0.0335821973098844
latent_step,Midjourney,4,5,0.1481620219783781,0.14101598930109857,0.03789912009608232
latent_step,Midjourney,5,5,0.10353781203682182,0.09537604328842487,0.031111884463940753
latent_step,SD14,0,5,0.0031710535091282652,0.0029453563112795556,0.0004695522871744933
